*Title*,row 1 b,,,,,,
*Can*,Can,,,,,,
*Can*,May,,,,,,
*I*,I,your,,,,,
*I*,parents,their,,,,,
*AmI*,Am I,You are,,,,,
*AmI*,Are parents,Parents are,,,,,
*AmI*,Are we,Families are,,,,,
*allowed1*,allowed to,,,,,,
*allowed1*,permitted to,,,,,,
*allowed1*,authorized to,,,,,,
*allowed1*,allowed by law,,,,,,
*allowed1*,permitted by law to,,,,,,
*allowed1*,authorized by law to,,,,,,
*allowed1*,legally allowed to,,,,,,
*allowed1*,legally permitted to,,,,,,
*allowed1*,legally authorized to,,,,,,
*homeschool*,homeschool,,,,,,
*homeschool*,home school,,,,,,
*homeschool*,home-school,,,,,,
*homeschool*,do homeschooling,,,,,,
*homeschool*,engage in homeschooling,,,,,,
*homeschool*,perform homeschooling,,,,,,
*city1*,*city* in *city-variant*,,,,,,
*city1*,*city*^ *city-variant*,,,,,,
*city1*,*city* *city-variant*,,,,,,
*city1*,*city-variant*,,,,,,
*in1*,in, Medical Investigation 101 Course,,,,,
*in1*,in,,,,,,
*homeschooling2*,homeschooling,Oshawa,john,,,,
*homeschooling2*,home-schooling,,,,,,
*homeschooling2*,home schooling,,,,,,
*allowed2*,allowed,0,,,,,
*allowed2*,permitted,,,,,,
*allowed2*,authorized,,,,,,
*allowed2*,legal,,,,,,
*allowed2*,lawful,,,,,,
*allowed2*,permitted by law,,,,,,
*legal3*,legal,,,,,,
*legal3*,lawful,,,,,,
*legal3*,allowed by law,,,,,,
*legal3*,permitted by law,,,,,,
*students4*,students,,,,,,
*students4*,children,,,,,,
*students4*,minors,,,,,,
*students4*,high school students,,,,,,
*students4*,primary school students,,,,,,
*students4*,secondary school students,,,,,,
*students4*,elementary school students,,,,,,
*homeschooled*,homeschooled,,,,,,
*homeschooled*,home-schooled,,,,,,
*homeschooled*,home schooled,,,,,,
*person*,daughter,she,,,,,
*person*,son,he,,,,,
*person*,children,they,,,,,
*person*,kid,he,,,,,
*person*,child,she,,,,,
*person*,kids,they,,,,,
*children*,children,them,,,,,
*children*,kids,them,,,,,
*children*,child,him/her,,,,,
*children2*,kids,,,,,,
*children2*,children,,,,,,
*children2*,students,,,,,,
,,,,,,,
,,,,,,,
*primary*,primary school students,,,,,,
*primary*,secondary school students,,,,,,
*primary*,elementary school students,,,,,,
*primary*,middle school students,,,,,,
*primary*,high school students,,,,,,
*Yes*,The answer is yes,,,,,,
*Yes*,Yes,,,,,,
*Yes*,Absolutely,,,,,,
*Yes*,Definitely,,,,,,
*Yes*,Certainly,,,,,,
*Yep*,,,,,,,
*you1*,You,,,,,,
*you1*,Parents,,,,,,
*you1*,Parents and legal guardians,,,,,,
*can1*,can,,,,,,
*can1*,are allowed to,,,,,,
*can1*,are permitted to,,,,,,
*can1*,may,,,,,,
*can1*,are allowed by law,,,,,,
*can1*,are permitted by law,,,,,,
*can1*,are entitled by law,,,,,,
*can1*,are permitted by law,,,,,,
*can4*,can,,,,,,
*can4*,are allowed to,,,,,,
*can4*,are permitted to,,,,,,
*can4*,may,,,,,,
*can4*,are allowed by law to,,,,,,
*can4*,are permitted by law to,,,,,,
*can4*,are entitled by law to,,,,,,
*can4*,are permitted by law to,,,,,,
*homeschooled4*,homeschooled,,,,,,
*homeschooled4*,home-schooled,,,,,,
*homeschooled4*,home schooled,,,,,,
*homeschooled4*,taught at home.,,,,,,
*homeschooled4*,home instructed.,,,,,,
*secondary*,secondary school students,,,,,,
*secondary*,high school students,,,,,,
*me*,I,,,,,,
*my*,my,,,,,,
*onlineschool*,online school,,,,,,
*onlineschool*,remote education school,,,,,,
*onlineschool*,online learning system,,,,,,
*onlineschool*,e-learning system,,,,,,
*onlineschool*,E-learning method,,,,,,
*onlineschool*,distance learning program,,,,,,
*onlineschool*,tele-course homeschool,,,,,,
*onlineschool*,tele-learning program,,,,,,
*onlineschool*,summer school program,,,,,,
*onlineschool*,study at home program,,,,,,
*onlineschool*,at a distance academy,,,,,,
*onlineschool*,remote learning institution,,,,,,
*onlineschool*,remote studying organization,,,,,,
*onlineschool*,MOOC learning school,,,,,,
*onlineschool*,online education school,,,,,,
*onlineschool*,school with online courses,,,,,,
*onlineschool*,online school with certified teachers,,,,,,
*onlineschool*,internet school with certified teachers,,,,,,
*onlineschool*,web school with certified teachers,,,,,,
*Whatsbest*,What is the best,,,,,,
*Whatsbest*,What's the number one,,,,,,
*Whatsbest*,What is the most recommended,,,,,,
*Whatsbest*,What is the most trusted,,,,,,
*Whatsbest*,What is the top,,,,,,
*Whatsbest*,What is the leading,,,,,,
*Whatsbest*,What's the top,,,,,,
*Whatsbest*,What is the most prestigious,,,,,,
*Whatsbest*,What is the most complete,,,,,,
*Whatsbest*,What is the most affordable,,,,,,
*Whatsbest*,What is the cheapest,,,,,,
*quality*,self-paced,,,,,,
*quality*,hands-on,,,,,,
*quality*,accredited,,,,,,
*quality*,certified,,,,,,
*quality*,all in one,,,,,,
*quality*,complete,,,,,,
*quality*,student led,,,,,,
,,,,,,,
,,,,,,,
*subject*,math,,,,,,
*subject*,science,,,,,,
*subject*,algebra,,,,,,
*subject*,pre-algebra,,,,,,
*subject*,French,,,,,,
*subject*,biology,,,,,,
*thebest22*,one of the leading,,,,,,
*thebest22*,one of the top,,,,,,
*thebest22*,among the best,,,,,,
*thebest22*,one of the best,,,,,,
*thebest33*,the top,,,,,,
*thebest33*,the best,,,,,,
*thebest33*,the leading,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
*providers22*,providers,,,,,,
*providers22*,academies,,,,,,
*providers22*,centres,,,,,,
*providers22*,organizations,,,,,,
*providers22*,education institutions,,,,,,
*providers22*,homeschool providers,,,,,,
*providers22*,private education providers,,,,,,
*providers22*,elite education providers,,,,,,
,,,,,,,
,,,,,,,
*me*,I,you,,,,,
*my*,my,your,,,,,
*person10*,daughter,her,,,,,
*person10*,son,him,,,,,
*person10*,child,child,,,,,
*person10*,children,children,,,,,
*person10*,children,them,,,,,
*person10*,kids,them,,,,,
*person10*,kid,child,,,,,
*myperson11*,my daughter,your daughter,her,her,your girl,,
*myperson11*,my son,your son,him,him,your boy,,
*myperson11*,my kid,your kid,him or her,him/her,your child,,
*homeschool14*,to be homeschooled,,,,,,
*homeschool14*,to homeschool,,,,,,
*homeschool14*,to homeschool your kids,,,,,,
*homeschool14*,to homeschool your children,,,,,,
*homeschool14*,to homeschool your child,,,,,,
*you14*,you,,,,,,
*you14*,parents,,,,,,
*you14*,I,,,,,,
*requirements14*,requirements,,,,,,
*requirements14*,legal requirements,,,,,,
*requirements14*,mandatory requirements,,,,,,
*requirements14*,statutory requirements,,,,,,
*you16*,you,,,,,,
*you16*,parents,,,,,,
*you16*,I,,,,,,
*start16*,start,,,,,,
*start16*,begin,,,,,,
*start16*,get started with,,,,,,
*homeschooling16*,the homeschooling process,,,,,,
*homeschooling16*,homeschooling,,,,,,
*homeschooling16*,home-schooling,,,,,,
,,,,,,,
*generally12*,generally,,,,,,
*generally12*,usually,,,,,,
*generally12*,often,,,,,,
*generally12*,many times,,,,,,
*offers12*,offers,,,,,,
*offers12*,provides,,,,,,
*offers12*,gives,,,,,,
*cheaper12*,much cheaper,,,,,,
*cheaper12*,more affordable,,,,,,
*cheaper12*,less expensive,,,,,,
*cheaper12*,less costly,,,,,,
*cheaper12*,a lot cheaper,,,,,,
*cheaper12*,a lot more affordable,,,,,,
*cheaper12*,more inexpensive,,,,,,
*privateschool12*,a private or religious school,,,,,,
*privateschool12*,private or religious schools,,,,,,
*privateschool12*,private schools,,,,,,
*privateschool12*,a private school or tutoring,,,,,,
*completeprogram12*,complete homeschool programs,,,,,,
*completeprogram12*,a complete homeschool program,,,,,,
*completeprogram12*,a full school year curriculum and lessons,,,,,,
*completeprogram12*,an entire homeschooling program,,,,,,
*completeprogram12*,a full curriculum outline for *state*,,,,,,
*completeprogram12*,a complete homeschool curriculum outline for *state*,,,,,,
*costly12*,much does does it cost,,,,,,
