*Can*,Can,,,
*Can*,May,,,
*I*,I,your,,
*I*,parents,their,,
*homeschool*,homeschool,,,
*homeschool*,home school,,,
*homeschool*,home-school,,,
*homeschool*,engage in homeschooling,,,
*city1*,*city* in *city-variant*,,,
*city1*,*city*@ *city-variant*@ *location1*,,,
*city1*,*city* *city-variant*,,,
*city1*,*city-variant* in *city*,,,
*city1*,*city*@ PPPP *location1*,,,
*city1*,*city-variant* of which *city* is part of,,,
*city1*,*city*@ *city-variant*@ *location1*,,,
*city1*,*city* *city-variant*,,,
*city1*,PPPP *location1*,,,
*city1*,*city*@ *location1*,,,
*city1*,*city-variant* ONLY CITY VARIANT HERE ROW 19,,,
*city1*,*city*@ *city-variant*@ *location1*,,,
*amI*,Are parents,,,
*amI*,Are families,,,
*allowed1*,allowed to,,,
*allowed1*,permitted to,,,
,,,,
*day*,Monday,,,
*day*,Tuesday,,,
*day*,Wednesday,,,
*day*,Thursday,,,
*day*,Friday,,,
*day*,Saturday,,,
*day*,Sundary,,,
*month*,April,,,
*month*,July,,,
*month-other*,June,,,
*boy*,my son,your son,him,your boy
*daughter*,my daughter,your daughter,her,your girl
,,,,
*question#0#*,0*Can* *I* *homeschool* *boy* innn *city1* @ and in New Jerseyyyy? I want to homeschool in *month* on *day* and *day-other*.,,,
*question#1#*,*Can* parents *homeschool* in *state* on *day*? I want to *homeschool* *daughter* in *month*.,,,
*question#2#*,*Can* parents *homeschool* in *state* on *day*? I want to *homeschool* *daughter* in *month*.,,,
*question#3#*,3 I wonder if parents are *homeschool* in *state* on *day*? I want to *homeschool* *daughter* in *month*.,,,
,,,,
,,,,
*answer#0#*,0*Can* *I* *homeschool* in *city1* on *day* in *month*? Definitey. *you1* *can* *homeschool* in *city-variant* on *day*. Actually@ it is good to homeschool on *day* but not on *day-other* or *day-other* and never in *month*.,"40,50",,
*answer#0#*,"LINK*Can* *I* *homeschool* my *boy* in *city1* on *day*? Sure. *you1* *can* *homeschool* *boy-variant* in *city* but not on *day*. <p><a href=""http://topmedicalusa.com/top-medical-stool-with-back-185-24"">great chair</a></p>","0,5",,
*answer#0#*,0*Can* *I* *homeschool* in *city1* specially on *day* in *month*? Yep. *you1* *can* *homeschool* in *city-variant* but only on *day-other*.,"0,5",,
*answer#0#*,0*Can* *I* *homeschool* in *city1* specially on *day* in *month*? Certainly. *you1* *can* *homeschool* in *city-variant* but only on *day-other* and NEVER@ NEVER before then.,"0,5",,
*answer#1#*,Never. *you1* can't *homeschool* *daughter-variant* in *state* on *day* but you can homeschool on *day-other*.,"20,30",,
*answer#1#*,No. *you1* can't *homeschool* *daughter-variant* in *state* this year.,"0,5",,
*answer#1#*,Not now. *you1* can't *homeschool* in *state* in *month* but maybe in the future.,"0,5",,
*answer#1#*,<p>What case law exists regarding homeschooling in *state*? location1 v. Vaughn 44 N.J. 142 (1965): This case deals with the procedures to be employed when a parent/guardian is charged with failing to cause the child to attend school under the compulsory education law.  During the prosecution of a case against a parent/guardian for a violation of the compulsory education law@ the location1 needed only to allege a violation of the statute.  It was then incumbent upon the parent/guardian to introduce evidence showing that they are relying on one of the two statutory exceptions (day school or equivalent instruction elsewhere than at school).  Once there is such evidence in the case@ the burden of persuasion with respect to whether the education comes within the exception is with the location1.</p>,"0,5",,
*answer#1#*,Never. *you1* can't *homeschool* *daughter-variant* in *state* on *day* but you can homeschool on *day-other*.,"25,38",,
*answer#2#*,2No. *you1* can't *homeschool* *daughter-variant* in *state* this year.,"0,5",,
*answer#2#*,2Not now. *you1* can't *homeschool* in *state* in *month* but maybe in the future.,"0,5",,
*answer#2#*,2<p>What case law exists regarding homeschooling in *state*? location1 v. Vaughn 44 N.J. 142 (1965): This case deals with the procedures to be employed when a parent/guardian is charged with failing to cause the child to attend school under the compulsory education law.  During the prosecution of a case against a parent/guardian for a violation of the compulsory education law@ the location1 needed only to allege a violation of the statute.  It was then incumbent upon the parent/guardian to introduce evidence showing that they are relying on one of the two statutory exceptions (day school or equivalent instruction elsewhere than at school).  Once there is such evidence in the case@ the burden of persuasion with respect to whether the education comes within the exception is with the location1.</p>,"0,5",,
*answer#2#*,2Never. *you1* can't *homeschool* *daughter-variant* in *state* on *day* but you can homeschool on *day-other*.,"0,5",,
*answer#3#*,3Not now. *you1* can't *homeschool* in *state* in *month* but maybe in the future.,"0,5",,
